old_frame,new_frame,old_x,old_y,new_x,old_y
0,1,237.0,150.0,236.95616149902344,149.59176635742188
0,1,301.0,104.0,300.7281799316406,103.51005554199219
0,1,272.0,104.0,272.2069396972656,103.4825439453125
0,1,308.0,210.0,308.39276123046875,209.66709899902344
0,1,264.0,151.0,263.94732666015625,150.6591796875
0,1,182.0,186.0,181.7469482421875,185.05809020996094
0,1,175.0,187.0,174.93655395507812,186.05844116210938
0,1,383.0,211.0,383.6814270019531,210.82655334472656
0,1,305.0,88.0,304.8857421875,87.39127349853516
0,1,370.0,93.0,369.59088134765625,92.37451934814453
0,1,396.0,94.0,395.5508728027344,93.40586853027344
0,1,349.0,96.0,348.334228515625,95.51226806640625
0,1,163.0,191.0,162.5393829345703,190.36105346679688
0,1,321.0,99.0,320.1563720703125,98.47924041748047
0,1,312.0,256.0,312.4197692871094,255.8321533203125
0,1,323.0,106.0,322.1770324707031,105.39141845703125
0,1,264.0,120.0,263.8154602050781,119.51744079589844
1,2,236.95616149902344,149.59176635742188,236.9561767578125,149.59181213378906
1,2,300.7281799316406,103.51005554199219,300.72845458984375,103.50991821289062
1,2,272.2069396972656,103.4825439453125,272.20751953125,103.48283386230469
1,2,308.39276123046875,209.66709899902344,308.39276123046875,209.66709899902344
1,2,263.94732666015625,150.6591796875,263.947265625,150.6591796875
1,2,181.7469482421875,185.05809020996094,181.7469482421875,185.05809020996094
1,2,174.93655395507812,186.05844116210938,174.93655395507812,186.05844116210938
1,2,383.6814270019531,210.82655334472656,383.6814270019531,210.82655334472656
1,2,304.8857421875,87.39127349853516,304.88604736328125,87.39093017578125
1,2,369.59088134765625,92.37451934814453,369.59088134765625,92.37451934814453
1,2,395.5508728027344,93.40586853027344,395.5508728027344,93.40586853027344
1,2,348.334228515625,95.51226806640625,348.3349914550781,95.51187896728516
1,2,162.5393829345703,190.36105346679688,162.5393829345703,190.36105346679688
1,2,320.1563720703125,98.47924041748047,320.15625,98.47986602783203
1,2,312.4197692871094,255.8321533203125,312.41961669921875,255.8322296142578
1,2,322.1770324707031,105.39141845703125,322.177001953125,105.39131164550781
1,2,263.8154602050781,119.51744079589844,263.8157043457031,119.51750946044922
2,3,236.9561767578125,149.59181213378906,237.5176239013672,150.13888549804688
2,3,300.72845458984375,103.50991821289062,301.1076965332031,103.7322006225586
2,3,272.20751953125,103.48283386230469,272.578369140625,103.61482238769531
2,3,308.39276123046875,209.66709899902344,309.3924865722656,210.09085083007812
2,3,263.947265625,150.6591796875,264.565185546875,151.0225830078125
2,3,181.7469482421875,185.05809020996094,182.28848266601562,185.07443237304688
2,3,174.93655395507812,186.05844116210938,175.45355224609375,186.0855712890625
2,3,383.6814270019531,210.82655334472656,385.2085876464844,211.28663635253906
2,3,304.88604736328125,87.39093017578125,305.25262451171875,87.57160949707031
2,3,369.59088134765625,92.37451934814453,369.6304626464844,92.51604461669922
2,3,395.5508728027344,93.40586853027344,395.4081115722656,93.50739288330078
2,3,348.3349914550781,95.51187896728516,348.2956848144531,95.6798095703125
2,3,162.5393829345703,190.36105346679688,163.04486083984375,190.49708557128906
2,3,320.15625,98.47986602783203,320.3650207519531,98.80599975585938
2,3,312.41961669921875,255.8322296142578,313.50775146484375,256.4192810058594
2,3,322.177001953125,105.39131164550781,322.3436279296875,105.69349670410156
2,3,263.8157043457031,119.51750946044922,264.24053955078125,119.76704406738281
3,4,237.5176239013672,150.13888549804688,237.31947326660156,150.58029174804688
3,4,301.1076965332031,103.7322006225586,301.1677551269531,103.9755859375
3,4,272.578369140625,103.61482238769531,272.2984924316406,104.02593231201172
3,4,309.3924865722656,210.09085083007812,309.5911560058594,210.6568145751953
3,4,264.565185546875,151.0225830078125,264.5535583496094,151.4096221923828
3,4,182.28848266601562,185.07443237304688,181.88308715820312,185.31216430664062
3,4,175.45355224609375,186.0855712890625,175.15162658691406,186.28567504882812
3,4,385.2085876464844,211.28663635253906,385.618896484375,211.92213439941406
3,4,305.25262451171875,87.57160949707031,305.3820495605469,87.76272583007812
3,4,369.6304626464844,92.51604461669922,369.10089111328125,92.66133880615234
3,4,395.4081115722656,93.50739288330078,394.6837463378906,93.7705307006836
3,4,348.2956848144531,95.6798095703125,347.6849670410156,95.84427642822266
3,4,163.04486083984375,190.49708557128906,162.30267333984375,190.69729614257812
3,4,320.3650207519531,98.80599975585938,319.78338623046875,99.00923156738281
3,4,313.50775146484375,256.4192810058594,313.7493896484375,257.12493896484375
3,4,322.3436279296875,105.69349670410156,321.7439270019531,105.79489135742188
3,4,264.24053955078125,119.76704406738281,264.2176208496094,120.06988525390625
4,5,237.31947326660156,150.58029174804688,237.35003662109375,151.3907012939453
4,5,301.1677551269531,103.9755859375,301.4991149902344,104.49916076660156
4,5,272.2984924316406,104.02593231201172,272.46392822265625,104.58267211914062
4,5,309.5911560058594,210.6568145751953,310.06317138671875,211.46214294433594
4,5,264.5535583496094,151.4096221923828,264.5021667480469,152.65896606445312
4,5,181.88308715820312,185.31216430664062,181.8526153564453,185.61285400390625
4,5,175.15162658691406,186.28567504882812,174.8717498779297,186.6527099609375
4,5,385.618896484375,211.92213439941406,386.39825439453125,212.70057678222656
4,5,305.3820495605469,87.76272583007812,305.685791015625,88.36000061035156
4,5,369.10089111328125,92.66133880615234,369.144287109375,93.23600769042969
4,5,394.6837463378906,93.7705307006836,394.3075866699219,94.19139862060547
4,5,347.6849670410156,95.84427642822266,347.4637451171875,96.49162292480469
4,5,162.30267333984375,190.69729614257812,162.03848266601562,191.2458038330078
